epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,147.251,1.57788,5.05147,1.84049,0.0065,0.09509,0.00432,0.00241,1.74744,4.48103,2.14386,2.82791e-05,2.82791e-05,2.82791e-05
2,267.024,1.49039,4.65859,1.74614,0.46799,0.05948,0.04206,0.02269,1.78669,3.85617,2.15196,5.47442e-05,5.47442e-05,5.47442e-05
3,385.467,1.5508,4.04765,1.78562,0.4785,0.12712,0.09658,0.05065,1.86185,3.36317,2.2105,7.93393e-05,7.93393e-05,7.93393e-05
4,503.878,1.56346,3.58548,1.79902,0.51857,0.18938,0.18926,0.09672,1.88813,2.95532,2.2781,7.6585e-05,7.6585e-05,7.6585e-05
5,622.389,1.54575,3.23269,1.78051,0.5144,0.23038,0.24707,0.12463,1.84177,2.67922,2.24008,7.378e-05,7.378e-05,7.378e-05
6,740.658,1.52752,2.98016,1.75883,0.5329,0.29166,0.29402,0.15031,1.85714,2.51383,2.25006,7.0975e-05,7.0975e-05,7.0975e-05
7,859.07,1.50289,2.78754,1.73414,0.52364,0.31524,0.33325,0.16654,1.84693,2.40855,2.22502,6.817e-05,6.817e-05,6.817e-05
8,977.585,1.48723,2.61716,1.71699,0.538,0.33188,0.34221,0.173,1.81895,2.33176,2.19308,6.5365e-05,6.5365e-05,6.5365e-05
9,1095.88,1.47943,2.50564,1.71296,0.59169,0.32986,0.36054,0.18654,1.83691,2.26975,2.20843,6.256e-05,6.256e-05,6.256e-05
10,1214.42,1.45235,2.40175,1.69069,0.52383,0.37152,0.37838,0.19309,1.82634,2.19922,2.20297,5.9755e-05,5.9755e-05,5.9755e-05
11,1332.53,1.44148,2.30419,1.67665,0.53488,0.39051,0.39105,0.20354,1.82883,2.12478,2.16141,5.695e-05,5.695e-05,5.695e-05
12,1451.29,1.42698,2.21634,1.66071,0.56631,0.37296,0.40286,0.21385,1.82872,2.11691,2.18261,5.4145e-05,5.4145e-05,5.4145e-05
13,1570.01,1.4161,2.16115,1.65444,0.57755,0.3927,0.42134,0.22082,1.82406,2.05981,2.21233,5.134e-05,5.134e-05,5.134e-05
14,1688.05,1.40007,2.0856,1.64392,0.55861,0.40302,0.42776,0.22443,1.81956,2.05209,2.20597,4.8535e-05,4.8535e-05,4.8535e-05
15,1806.78,1.39213,2.03043,1.62652,0.54685,0.40884,0.43306,0.22775,1.80359,2.03424,2.18153,4.573e-05,4.573e-05,4.573e-05
16,1925.12,1.37412,1.96991,1.61256,0.58661,0.40189,0.43601,0.22852,1.82793,2.0136,2.20161,4.2925e-05,4.2925e-05,4.2925e-05
17,2043.08,1.36325,1.9291,1.60286,0.56053,0.41458,0.43786,0.22819,1.82802,2.00184,2.1901,4.012e-05,4.012e-05,4.012e-05
18,2161.34,1.34756,1.87823,1.59231,0.57587,0.40229,0.45846,0.23934,1.80959,1.96887,2.17634,3.7315e-05,3.7315e-05,3.7315e-05
19,2279.86,1.33419,1.83987,1.58125,0.52925,0.44437,0.46364,0.24714,1.81024,1.97445,2.18239,3.451e-05,3.451e-05,3.451e-05
20,2398.35,1.32177,1.805,1.56749,0.61804,0.40095,0.45822,0.24457,1.80605,1.94195,2.18088,3.1705e-05,3.1705e-05,3.1705e-05
21,2511.92,1.2942,1.75163,1.68665,0.5742,0.40999,0.44555,0.23496,1.80274,2.02204,2.14179,2.89e-05,2.89e-05,2.89e-05
22,2625.16,1.24996,1.66277,1.64935,0.55214,0.45682,0.46329,0.24858,1.78847,1.96827,2.15765,2.6095e-05,2.6095e-05,2.6095e-05
23,2738.56,1.23916,1.61069,1.63574,0.59234,0.41352,0.46099,0.24567,1.79235,1.98658,2.14373,2.329e-05,2.329e-05,2.329e-05
24,2852.52,1.21472,1.55559,1.62169,0.5323,0.47135,0.46247,0.25333,1.78506,1.97308,2.15092,2.0485e-05,2.0485e-05,2.0485e-05
25,2966.59,1.19934,1.5207,1.60833,0.57654,0.44576,0.46246,0.24859,1.7829,1.99949,2.14617,1.768e-05,1.768e-05,1.768e-05
26,3079.88,1.18879,1.4906,1.59101,0.61579,0.40888,0.46062,0.2492,1.77725,1.96372,2.1369,1.4875e-05,1.4875e-05,1.4875e-05
27,3193.31,1.17721,1.47164,1.58839,0.53947,0.4698,0.4729,0.2564,1.77465,1.95769,2.14878,1.207e-05,1.207e-05,1.207e-05
28,3306.71,1.16842,1.45404,1.57739,0.54448,0.47771,0.46386,0.25359,1.77325,1.95908,2.14057,9.265e-06,9.265e-06,9.265e-06
29,3420.35,1.1548,1.44455,1.56465,0.52555,0.48002,0.46709,0.25587,1.77111,1.96452,2.14609,6.46e-06,6.46e-06,6.46e-06
30,3533.88,1.15864,1.41918,1.56148,0.52344,0.49054,0.46688,0.25202,1.76858,1.96397,2.14196,3.655e-06,3.655e-06,3.655e-06
